,US_Equity,EU_Equity,Intl_Developed,EM_Equity,Global_Tech,Global_Healthcare,Global_Financials,Global_Infrastructure,Global Energy,Global Industrials,Global Consumer Staples,Global Consumer Discretionary,Global Comm Services,Global Materials,Global Utilities,Style_Value,Style_Momentum,Style_Quality,Style_MinVol,Rates_US_Long,Rates_Developed,Rates_EM,Credit_US_IG,Credit_US_HY,Credit_EU_IG,Credit_EU_HY,Credit_EM,FX_USD,FX_EUR,FX_JPY,FX_EM,Commodities_Broad,Commodities_Gold,Commodities_Oil,Inflation_Expectations,Global_Real_Estate,ESG
Bloomberg EM Hard Currency Agg TR HEUR,0,0,0,0.025832092,0,-0.021612073,0.00140256,0,0,0,-0.002222324,0,0.007014781,0,0,0.000102195,0,0,0,0.00840051,0,0,0,0,0,0.037938251,0.621555678,0,0,0.003192184,0,-0.042219483,-0.004996372,0.014736527,0,0,0
Bloomberg EM Hard Currency Agg TR HGBP,0,0,0,0.024591834,0,-0.023788364,0.00108584,0,0,0,-0.00502157,0,0.006809858,0,0,0.002543504,0,0,0,0.004409989,0,0.000545851,0,0,0,0.036843984,0.63290285,0,0,0.003539774,0,-0.048096821,-0.00308174,0.017229505,0,0,0
Bloomberg EM Hard Currency Agg TR USD,0,0,0,0.040054134,0,-0.018823027,9.87E-05,0,-0.005760856,0,-0.00038633,-0.005188955,0.005326325,0,0,0,0,0,0,0.023296363,0,0.03370752,0,0,0,0.109773385,0.541949905,-0.008764596,0,0.006255961,0,-0.041526188,0,0.016903944,0,0,0
Bloomberg EM Hard Currency TR HCHF,0,0,0,0.040885362,0,-0.00687194,0,-0.000995509,-0.008562545,0,0,-0.010619216,0,0,0,0,-0.001180975,-0.004090766,0,0.02829473,0,0.031880546,0,0,0,0.117540994,0.543311641,-0.001846362,0,0.014369462,0,-0.018596246,-0.015299769,0.011185014,0,0,0
Bloomberg Euro Agg Bond TR EUR,0,0,0.056030414,-0.017956556,0.025092785,-0.021130301,0.015392319,-0.01408176,0,-0.017132001,-0.018919208,-0.028415935,0.022485062,-0.019304945,0,0.001193048,-0.019641533,0,0,-0.091832818,0.163728956,-0.063868169,0.1100627,0.042593603,0.271450134,-0.016242316,0.043291836,0.065979693,-0.321413947,-0.001258339,0.02285793,-0.05330508,0.009722715,0.01113417,0.163982664,0.003028659,0.00684193
Bloomberg Euro Agg Corps TR Hdg CHF,0,0.011429009,0,0.001045169,0.042679457,0,0.020807221,0,0.000611309,-0.046554248,-0.007320267,-0.001760989,0.018732543,0.000182733,-0.011918831,-0.014408308,-0.015351534,-0.031715584,0.003025988,-0.176874768,0,-0.088509631,0.191035965,0.07396692,0.176844415,0.108567817,0.142545599,0.033156737,-0.294487105,0.038409207,0,-0.010003363,0.004452833,-0.012006439,0.163046156,0.037518443,-0.013633667
Bloomberg Euro Agg Credit TR EUR,0,0.013544764,0.031494538,0,0.031791479,-0.01933275,0.015856162,-0.000540668,0,-0.048570932,-0.023137787,-0.023140785,0.020942753,-0.004675558,-0.015243517,-0.005651755,-0.019091876,0,0.007751429,-0.152487726,0,-0.103691618,0.151458654,0.084829057,0.196637592,0.057109243,0.163687118,0.035071111,-0.256853311,0.049549413,0.009885665,-0.040252897,0.005868147,-0.003590917,0.18508403,0.025331095,0
Bloomberg Gbl Agg Corp 0901 TR Hdg EUR,0,0,0.007728909,0.01571009,0.00222148,-0.010334591,0.007950364,0.000597388,-0.000180477,-0.046763305,-0.014014434,-0.001141034,0.005197988,-0.004868161,-0.003101975,0,0.010284858,-0.012807918,0,-0.069595115,0,-0.053191684,0.536834452,0.000912802,0.030363749,0.087059372,0.118886768,0,-0.105142382,0.006097979,-0.021275738,-0.019894869,0.01271727,-0.005519311,0.107657652,0.037783513,0
Bloomberg Gbl Agg Corp 0901 TR Hdg USD,0,0,0,0.011818666,0.002449515,-0.014667872,0,0,0,-0.03125872,-0.009106877,0,0,0,0,0,0.000109247,0,0,-0.035141483,0,-0.023957531,0.505082411,0.02519816,0.022064356,0.081444234,0.111182195,0,-0.082231473,0,-0.03629704,-0.017162814,0.00966532,-0.005832751,0.047342093,0.036458427,0
Bloomberg Gbl Agg Corp 1229 TR Hdg GBP,0,0,0.021172707,0.017808273,0,-0.015953591,0.004330761,0.003618869,-0.000961908,-0.04540247,-0.020271184,-0.007848827,0.006157337,-0.00776289,-0.008018274,0,0.009989046,-0.012693346,0.012450985,-0.075398904,0,-0.052516606,0.541607132,0.00499018,0.031820347,0.082928683,0.115445711,0,-0.106523328,0.00651379,-0.020875674,-0.025374006,0.015220634,-0.003760195,0.109346682,0.039303163,0
Bloomberg Gbl Agg Corp TR Hdg CHF,0,0,0,0.013425888,0.000397077,-0.008506969,0,0,-0.000807405,-0.035669863,-0.010765126,0,0,0,0,0,0.003423415,-0.000884346,0,-0.040285935,0,-0.027917144,0.508090185,0.003528159,0.029003278,0.09199768,0.110232934,0,-0.101410378,0,-0.037460487,-0.001733115,0.002248409,-0.008685773,0.073712112,0.034356997,0
Bloomberg Gbl Agg Corp TR USD,0,0,0,0.0134438,0,0,0,0,-0.002175943,-0.000793269,0,0,0.002695244,0,0,0,0,0,0,0,0.037483603,0,0.485252839,0,0.027172379,0.17607707,0,-0.028433703,0,0,0,0,0.019919711,-0.004421147,0,0.01702016,0
Bloomberg Global Aggregate TR Hdg CHF,0,0.003090065,0.00604206,-0.008898319,0.0040055,-0.00636386,-0.006696958,0,-0.004889202,-0.007793906,0,-0.011852247,0.007441912,-0.010398372,0.001587992,0.017326295,-0.00590587,0,0,0.034782869,0.120978406,0,0.186576012,0.015513159,0.061085525,0,0.020708764,0,-0.125427556,0,-0.034817285,-0.02059417,0,0.002688072,0.124981238,0.001419728,0
Bloomberg Global Aggregate TR Hdg GBP,0,0.008927039,0.007964158,-0.008336493,0.000842432,-0.01329155,-0.007015121,0,-0.003438124,-0.000255259,-0.004613469,-0.018463856,0.01623901,-0.018208863,0,0.016210862,-0.002984498,0,0,0.029209283,0.130339609,-0.008884021,0.189542174,0.025770701,0.056913116,0,0.016419217,0,-0.127290592,0,-0.023515894,-0.034665423,0.008227607,0.005187669,0.12900196,0.003517764,0
Bloomberg Global High Yield TR Hdg CHF,0,-0.011018081,0,0,0.012042815,-0.025592764,0.010941135,0.003506242,0,-0.020531291,-0.012768432,0,-0.002409677,0.032771882,-0.019783547,0,0.016708876,-0.067743748,-0.041267794,-0.086061257,-0.12504242,0.050694368,0,0.357595905,0,0.157827221,0.377930673,-0.004032198,-0.080782208,0,0,-0.010728461,-0.016920033,0.007360961,0.112943299,0.0548439,0.055502703
Bloomberg Global High Yield TR Hdg EUR,0,0,0,0,0.007331217,-0.034230178,0.0136173,0.001794277,0,-0.018986612,-0.018282116,0,0,0.023316548,-0.019846857,0,0.014848044,-0.042120328,-0.03821096,-0.09332695,-0.114501345,0.043414553,0,0.368189838,0,0.148168249,0.38305279,0,-0.066044253,0,0,-0.016166618,-0.009585103,0.007233265,0.111006384,0.054408952,0.041054938
Bloomberg Global High Yield TR Hdg GBP,0,0,0,0,0.008010438,-0.035460868,0.014317526,0.00627988,0,-0.01591533,-0.024225906,0,0,0.02115104,-0.020230583,0,0.014059757,-0.034783795,-0.030657208,-0.098247018,-0.107543465,0.043338071,0,0.365469372,0,0.148834666,0.388920731,0,-0.072114323,0,0,-0.021792314,-0.007019124,0.010001173,0.107203692,0.054566498,0.028089413
Bloomberg Global High Yield TR Hdg USD,0,0,0,0,0.012532326,-0.033893841,0.01137916,0.00205487,0,-0.020068169,-0.016478166,0,0,0.029046355,-0.022566336,0,0.011949034,-0.050335884,-0.029689136,-0.08670118,-0.124210962,0.051447632,0,0.377637432,0,0.146335768,0.378947233,0,-0.061583313,0,0,-0.023325768,-0.009102996,0.009116228,0.088679996,0.055680937,0.037333374
Bloomberg Global Treasury TR Hdg CHF,0,0.015856903,0,-0.020262582,-0.002689992,-0.012548607,-0.028510085,0,-0.000833608,-0.003335381,0,-0.021079001,0.005377824,-0.00679869,0,0.023845117,-0.002258526,0.00625719,0.000439633,0.06788672,0.243661956,0,0.054471211,0.023165634,0.077399756,-0.02562631,0,0.015567941,-0.172077595,-0.037932489,-0.017808609,-0.030980996,0.003460598,0.006773361,0.119619998,-0.004775752,0.010077079
Bloomberg Global Treasury TR Hdg EUR,0,0.02605068,0.001211715,-0.019189765,-0.008897415,-0.025442259,-0.027379615,0.00311285,-0.000948905,-0.00775916,-0.001294264,-0.028129302,0.009068753,-0.010257268,-0.007940339,0.023348433,0,0.021584114,0.005904975,0.06161547,0.249647056,0,0.053900159,0.036687814,0.072870558,-0.038870137,0,0.015109003,-0.160166539,-0.038253043,-0.018153165,-0.045495481,0.011046794,0.009296557,0.128420071,-0.002971675,0.010863192
Bloomberg Global Treasury TR Hdg GBP,0,0.028427741,0,-0.018475776,-0.008740721,-0.02658972,-0.029375167,0.002492004,0,-0.00120526,-0.002736203,-0.030868735,0.011483114,-0.013237383,-0.010440749,0.022481008,0,0.02158146,0.009756648,0.060649311,0.251103454,0,0.052137741,0.042026518,0.074238646,-0.042732214,0,0.01396875,-0.159950551,-0.037525053,-0.016547988,-0.047089352,0.013102475,0.009183112,0.124590212,-0.001497849,0.006595781
Bloomberg Global Treasury TR Hdg USD,0,0.023273866,0,-0.020715219,-0.001649135,-0.019332137,-0.026906894,0,-0.000256737,-0.003610255,0,-0.023145743,0.007241679,-0.009077196,-0.005245693,0.02134903,-0.000701458,0.014436624,0.001467649,0.062549452,0.231593099,0,0.063402855,0.04571143,0.076392404,-0.039048964,0,0.019970293,-0.149651403,-0.037048876,-0.010170878,-0.048908829,0.013078378,0.009467398,0.108677277,-9.80E-06,0
Bloomberg US Agg Bond Hdg TR GBP,0,0,0.057512457,-0.005107835,0,-0.00253856,0.001597774,0,-0.012603389,0,-0.016829573,-0.02042237,0.018729724,-0.033751633,0.002289825,0.023849288,-0.018600254,0,0,0.10572682,0.045893015,-0.017056135,0.342886804,0,-0.014423448,-0.018302031,0,-0.044252881,0,0.033120682,-0.019512896,-0.009954975,0,-0.000491712,0.147372505,-0.005778695,0
Bloomberg US Corp Bond TR Hdg CHF,0,-0.001793662,0,0,0,0,0,0,0,-0.014375621,-0.010767947,0,0,0,0,0,0,0,0,0,0,0,0.703912067,0,0,0.036282196,0.061904717,0,0,0,-0.01726517,0,0,-0.005180162,0,0.027035359,0
Bloomberg US Corp Bond TR Hdg GBP,0,0,0,0,0,-0.007108899,0,0,0,-0.013235332,-0.021567042,0,0,-0.007054285,0,0,0.004597717,0,0,0,0,0,0.692825847,0,-0.000625138,0.048991948,0.085722137,0,0,0,-0.04056806,0,0.008021711,-0.005811376,0.000946599,0.033637013,0
Bloomberg US Corp Bond TR USD,0,0,0,0,0,-0.003071445,0,0,0,-0.014148406,-0.014992202,0,0,-0.001113682,0,0,0,0,0,0,0,0,0.699243793,0,0,0.041413322,0.073963361,0,0,0,-0.02430616,0,0.003947245,-0.006958212,0,0.027158074,0
Bloomberg US Govt Infl Lkd TR USD,0,0,0,0,0.010995761,0,-0.011985677,0,0,0,0,0,-0.01295767,0,-0.000235593,0,0,0,0,0.025949949,0,0,0.021975877,0,-0.003321028,0.017719857,0,0,0,0,-0.003893291,0,0.008675136,0.000173784,0.818673827,0.019695843,0
Bloomberg US Treasury TR USD(1987),0,0.003093869,0.080382986,-0.018789653,0,-0.006464517,-0.007084828,-0.02311334,-0.00921638,0,0,-0.033482771,0.019508134,-0.031218873,0.010716489,0.022175935,-0.012073443,0,0,0.205442277,0.148652818,0,0.18474491,0.01993214,-0.039312164,-0.049109455,-0.059594659,-0.027135508,0,0.003390751,-0.027895015,-0.017185131,0.017575319,0.001809365,0.13322691,-0.025954685,0
Bloomberg US Treasury US TIPS TR HGBP,0,0,0,0,0.006443637,0,-0.007687651,0,0,0,0,0,-0.007129388,-0.002384047,-0.000210048,0,0,0,0,0.012115461,0,0,0.020441318,0,0,0.009406614,0,0,0,0.005596723,-0.002801685,0,0.007504874,0.001538318,0.815556533,0.016609222,0
BlueBox Funds Global Technology I Acc,0,0,0,0,0.822358835,0,0,0,0,0,0,0.179117048,0.118238206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNY Mellon Global Credit EUR I Acc H,0,0.007986418,0,0,0.013553751,0,0.093042626,0,-0.028077848,-0.121981347,0,-0.0312513,0.014566392,0.03820032,-0.010016186,0,0,0,0,0,0.029050241,0,0.500975458,0,0.092383142,-0.105427027,0,-0.032106491,-0.028830871,0,0,-0.052297758,0,0.029375078,0,0,0.024801991
BNY Mellon Global Credit EUR W Acc H,0,0.010004245,0,0,0.011282675,0,0.092511613,0,-0.030201876,-0.124011594,0,-0.034639797,0.015157168,0.040762982,-0.011389011,0,-0.000204542,0,0,0,0.031223128,0,0.499868992,0,0.093123741,-0.109240764,0,-0.030756339,-0.028070259,0,0,-0.05315029,0,0.030052173,0,0,0.031234492
BNY Mellon Global Credit GBP W Acc H,0,0,0,0,0.008937389,0,0,0,0.006201676,-0.02999753,-0.001535825,0.005037617,0.00128819,0,0,0,0,0,0,-0.060908301,0,0,0.468759951,0.000424746,0.022023546,0.107187354,0.14251485,0,-0.110281629,0,-0.0572296,-0.011475188,0.010527388,-0.011898407,0.092172823,0.015776234,0
BNY Mellon Global Credit GBP W Inc H,0,0,0,0,0.010497832,0.012829401,0,0,-0.023806374,-0.038837719,0,0,0,0,-0.007924427,0.050064248,-0.013578128,0,0,0,0,0,0.496667302,0,0.087543395,-0.030572926,0,0,0,0,-0.007416128,0,-0.009601523,0.011514808,0,0,0
BNY Mellon Global Credit USD W Acc,0,0,0,0,0.012250022,0,0,0,0.004673984,-0.025339272,0,0.00612952,0.00062866,0,0,0,0,0,0,-0.044596927,0,0,0.469028768,0.010597261,0.020881875,0.102242795,0.123729744,0,-0.099566795,0,-0.049758977,-0.004949446,0.009430923,-0.014643771,0.077195146,0.005360013,0
Brevan Howard Alpha Strategies Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013337698,0,0,0
Brevan Howard Alpha Strategies Fund (MSF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013360151,0,0,0
Brookfield Infrastructure Income Fund Inc.,0,0,-0.012042459,-0.009139227,0,0,0,0,0.000517024,0,0,-0.000344682,-0.001581215,0,0,0,0.008837561,0,0.017019262,0.000248283,0,0,0,0,0.006517917,-0.008767853,0,-0.010829777,0.011010603,-0.019375446,0,-0.008464732,0.01585855,-0.000556972,0,0.010166598,-0.00845818
BTG Timber OEF Proforma,0,0,0,-0.014276421,0,0,0.002509047,0,0.002051252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005664747,0
C.W. Henderson Intermediate,0,0.003433911,0,0,0,0,0,0,-0.022265989,0.004800134,0,0.004230827,0,0,0.010807494,0,0,0,0,0.055933919,0.016544192,0,0.18444525,0,0,0.000293067,0.035260837,0,0,0.02762071,0,-0.032636307,-0.000589964,0.020983171,0,0,0
Calvert Emerging Markets Equity I,0,0,0,0.869876671,0.051980268,-0.030672624,0.022249778,0,-0.029700444,0,0,0.045504445,0,0,0,0,0,0,0,0,0,0,0,0,0.015398285,0.077234225,0,0,0,0,0,0,0,-0.014391356,0,0,0
Cameco Corp,0,-0.816737901,0,-0.647636133,0,-0.370141835,0.340565203,0.356079342,0.422265476,0,-0.00296052,0.537319774,1.009069877,0.775219087,0,-0.675535707,0,0,-0.430938165,-0.057295304,0,0,0,0,0,0,-0.610006364,0,0.152663129,-0.424517294,0,0.188100641,0.0706722,-0.159894812,0,0.240305099,0
CFM Discus Feeder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78E-17,0
CFM Stratus,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.80E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG Dollar Fund (CHF Hedged),0.152225852,-0.041994922,0.05253125,-0.022760446,-0.002353644,0.015799153,0.003062867,-0.038108742,-0.013494024,0.009260211,0.012950047,0.025490847,-0.060922737,-0.03154685,0.046424843,-0.002010868,-0.036388711,-0.032814437,-0.100906346,0.057372255,0,-0.017185418,0.083657381,0.001617464,-0.031327121,0.007055893,0.052514775,-0.062590961,0.000689938,-0.018834508,0.011675376,0.048130765,-0.004606287,-0.009299629,0.955031211,0,0
CG Dollar Fund (EUR Hedged),0.151533537,-0.03556622,0.064962567,-0.01982779,-0.009443949,0.003127353,0.001618366,-0.034335396,-0.013694056,0.004894262,0.006312901,0.017562252,-0.056977736,-0.03722243,0.040124792,-0.002515367,-0.034681933,-0.016838524,-0.09083914,0.053141923,0,-0.027837255,0.079290828,0.013569496,-0.034222614,0,0.054121213,-0.070240858,0.003786552,-0.017271006,0.021571149,0.034870336,0.000958492,-0.00738755,0.964376138,0,0
CG Dollar Fund GBP D,0,-0.046545897,0,0,0,-0.027871492,-0.107864224,0,0,0,0,0,0,0,0.025846952,0,0,0,0,0.233565012,0,0,0,0,0,0,0.084414237,0,-0.43789948,0,0,0,0,0,0.177385778,0,0
CG Dollar Fund GBP Hgd,0,-0.007974868,0,0,0.020034437,0,-0.00042761,0,-0.006436348,0,0,0,-0.037690773,0,0.004064987,0,-0.003113923,0,-0.005524682,0.051421878,0,0,0.009817914,0.081271632,0,0,0,0,-0.000651341,0,0,0,-0.006193621,0,0.93034907,0.026673342,0
CIFC Senior Secured Corporate Loan Fund,0,0,0,0,0.018489096,0,0,0,0,0,0,0.004652842,0,0,0,0.034340775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00743275,0,0,0
CM-AM Cash ISR IC,0,0,0,0,0,-0.00177943,0.002996608,0,0,0,0,0,0.007501667,-0.003462822,0,0,0,0,0,-0.003769018,0,0,0,0,0,0,0,0,0,0,0,-0.007699223,0.006776907,0.001454177,0,0,0
Coatue Long-Short Fund (Class A),0,0,0,0,0.194929479,0,0,0,0,0,0,0,0,0,0,0,0.16352954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coatue Long Only,0,0,0,0.104168055,0.413365252,0,0,0,-0.107896153,0,-0.165561053,0.226545492,0.049875847,0,-0.07917326,0,0.500672835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036022661,0,0,0
Comgest Growth Europe EUR Acc,0,0.678958069,0,-0.12845859,0.184084838,0.161763995,-0.211592183,0,-0.118725777,0.053956347,0.008702496,0.15233273,-0.033976013,0,-0.041755188,-0.024426523,0,0.11976378,0,0.101837168,0,-0.033789754,0,0,0.000150329,0,0,0.004192064,-0.69941167,0,0,0,-0.025593268,0.035113464,0,0.078501736,0
Comgest Growth Europe EUR I Acc,0,0.679939624,0,-0.127138216,0.183568156,0.160788581,-0.211775981,0,-0.118967775,0.052449848,0.007049666,0.151105091,-0.034652933,0,-0.042266966,-0.023209178,0,0.123011912,0,0.102451374,0,-0.034719018,0,0,0,0,0,0.007113442,-0.693170793,0,0,0,-0.025951959,0.034927001,0,0.07880322,0
Comgest Growth Europe EUR I Inc,0,0.679299499,0,-0.12728239,0.183323928,0.161931519,-0.210953587,0,-0.119002021,0.052942418,0.006948369,0.151100399,-0.033997676,0,-0.041695787,-0.023249153,0,0.122455836,0,0.102088973,0,-0.035191685,0,0,0.000153765,0,0,0.003438721,-0.699075684,0,0,0,-0.025341439,0.034827116,0,0.078278303,0
Comgest Growth Europe USD I Acc,0,0.673703979,0,-0.126134862,0.194900574,0.223477317,-0.174727482,0,-0.123224218,0.05499221,0.030753219,0.145689219,0,0,-0.053970534,-0.018038686,0.017955821,0.01145122,0,0.08318254,0,0,0,0,0.052501664,0.019985019,-0.051939488,0,0.075643285,0,0,0,-0.002693614,0.040358467,0,0.06816016,0
Cornwall Side Pocket,0,0,0,0.069673055,0,0,0,0,0.01683705,0,0,0,0,0,0,0.120020839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862246,0,0.143478275,0
Davidson Kempner Partners,0,0.008954993,0,0.081130102,0,-0.04948977,0.021331657,0.092626715,-0.036520085,0,0.024031927,0.04197708,0.008005013,-0.02643764,-0.09020505,0.016779917,0.120233454,-0.11050875,0,-0.099041925,-0.312393466,0,0,0.026594753,0.064774307,0.121235409,0.155623222,0.001887143,-0.061463405,0.038660966,-0.086668112,0.000896188,0.01438325,0.009756808,0.113407395,0.092233958,-0.117407141
DE Shaw Lithic Fund Series A,0,0,0,-0.020115837,0.044785726,-0.079410992,-0.081027665,0,-0.047979666,-0.054435172,0.092360302,-0.002539812,-0.053793587,0,0,0.005099358,0.094112862,0,0.202097665,-0.144259261,0,0,0,-0.074434862,0.088135535,-0.008596881,0,0.279516991,0,0,0,0,0.08825824,-0.001741028,0,-0.02528026,0
Dimensional Emerg Mkt Trgtd Val USD Acc,0.068641385,-0.041800089,0,0.798706258,0,-0.095446002,-0.06775406,0.320882477,0,0,0,-0.053679325,-0.076899932,0.047021289,-0.221409141,-0.101467716,0,0,0.140653332,-0.156928111,0,0.004825288,0,-0.059729543,-0.114256527,0.334465771,0,-0.185851405,-0.227789772,0.023758434,0,0.138731272,-0.024766734,-0.086791961,0,0.221626141,0
Dimensional Emerging Mkts Val A USD Acc,0,0,0,0.776627129,0,0,0,0,0.091803013,0,0,0,0,0.034923995,0,0,-0.00955561,0,0,-0.068135456,0,0.004327361,0,0,-0.012253693,0.151262112,0,0,0,0,0,0,0,0,0,0.023828973,0
Dimensional US High Profitability ETF,0,0,-0.119351746,-0.028680488,0.04941906,0,-0.125485113,-0.080047516,-0.042746535,0.129249206,0.116675956,0.060650905,-0.105004246,0.038728108,-0.037358089,0.281464487,0.161128587,0.316061573,0.117374906,0,-0.05284075,-0.04338972,0,0,0,0.056029836,0.28679411,0,-0.012856893,0,0,0.1003989,-0.017233159,0,0,0.045820466,0
Dodge & Cox Worldwide Global Stk EUR Acc,0,0.075114253,0,0.152775175,0,0.049809387,0.30062183,0.005283732,0.106335883,0,0,0.072335717,0.037623063,0.059675454,-0.048688587,0.159746746,-0.050033403,0,0,0,-0.116837533,0.02864474,0,0,-0.063925132,0.007107962,0.055264582,0,-0.759184729,0,0,-0.010190282,-0.017492927,0,0,0.092801553,0
Dodge & Cox Worldwide Global Stk GBP Inc,0,0,0,0.125913846,0,0,0.133045511,0,0.120519094,0,0,0,0.021519968,0.086366812,0,0.15363301,0,0,0,0,-0.015519808,0.041579867,0,0,-0.076826103,0,0.146344014,0.012376148,-0.355789533,0,0.056839477,0,-0.048354177,0,0,0.073432518,0
Dodge & Cox Worldwide Global Stk USD Acc,0,0.103815327,0,0.176129674,0,0.035214916,0.317363199,0,0.108839945,0,0,0.038571019,0.0116742,0.05743904,-0.032713255,0.144110359,0,0,0,0,0,0.027294696,0,0,-0.050505857,0.052663655,0,0,0,0,0,0,-0.005289341,0.000633841,0,0.050669298,0
Doubleline Opportunistic Credit,-0.10131362,0,0,0.106451703,-0.04352687,-0.078190531,-0.065594533,0.192792513,-0.04985097,0,-0.103284652,0,0.032495101,-0.059194811,-0.080255438,0.097210394,0.145700877,0,0,-0.120446659,0,-0.003945291,0.146447245,-0.136303333,-0.012562285,0.197983424,0.507389186,0.149757707,-0.135162647,-0.012801621,-0.258135831,-0.055352358,0.005744033,0.036377744,0.41964042,0.2017916,-0.258498656
DoubleLine Total Return Bond I,0,0,0.060961302,0,0,-0.012691608,0.006562948,0,-0.02494591,0,-0.035550255,0.007605342,0.009843663,-0.034846938,0,0.030828633,-0.01162532,-0.061722314,0,0.082052047,0,0,0.244529062,0,0,0,0.056965718,0,0,0.028707659,-0.022243459,-0.023299903,-0.000592166,0.012411345,0.118220716,0.048546421,-0.008571659
DoubleLine Yield Opportunities Fund,-0.430670161,-0.373045345,0.209419675,0.039365629,0,-0.022651477,0.12208671,-0.032596737,-0.027532469,-0.027028368,0.154602045,-0.013857658,0.160738864,0.086007252,-0.04728204,-0.006512057,0.103657594,0,-0.162959965,-0.072256227,-0.382596399,0.139882592,0.039807471,0.075931082,0.021808515,0.143235641,0.404320847,-0.003406353,0,-0.138903707,-0.110984523,-0.130404496,-0.05018979,0.06437164,0.572344315,0.285921584,0
Drawbridge Special Opportunities Fund,0,-0.013850592,0,0.03865848,0,-0.067698054,0,0,0.015476802,-0.016847532,-0.06019143,0.010632778,-0.029459393,-0.020591852,-0.005339365,0,0.041518893,-0.094822442,0,-0.177804999,0,0,0,0,0,0.149271852,0.369525222,0.009330123,-0.151356505,-0.028554388,-0.100479977,0.008542493,-0.001255406,0.01834446,0,0.197116474,-0.009207349
Eagle Capital US Equity Founder,0.238798527,0,0,0,0.036085724,0,0.235602516,0,0.067045794,0,0,0.013384508,0.27547445,0,-0.039594436,0,0,0.273515761,0,0,0,0,0,0,0,0,0,0,0,-0.058951706,0,0,0.007895831,0,0,0,0
Eagle Capital US Equity R USD Acc,0.249945739,0,0,0,0.041426654,0,0.165475138,0,0.034867833,0,0,0.026025804,0.255538561,0,0,0,0,0.225421418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006570407,0,0,0
Eagle Capital US Equity R USD Dis,0.058469548,0,0,0,0.072906491,0,0.239273381,0,0.031244267,0,0,0.007813391,0.257824448,0,-0.00292679,0,0,0.35371672,0,0,0,0,0,0,0,0,0,0,0,-0.027904409,0,0,0,0.022092871,0,0,0
EIPX Proxy,0.357748761,-0.220328161,0,0,-0.163259274,0,-0.002329282,0.263914277,0.511109526,-0.226578775,-0.026533736,0.106202568,0,0.036244734,0,0.012163268,0,0,0.200379877,-0.144661578,-0.057835024,0,0,0.393409981,-0.105386505,0,0.196528969,0,0,0,-0.078659826,-0.038404029,0.10403234,-0.036257879,0,0.074151536,0
Eisler Capital Multi Strategy Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliott Associates LP,0,0,-0.074213585,0,0,0,0.008546064,0,-0.003382098,-0.080461207,0,0.030705577,-0.015398631,0.115824035,-0.046999615,0.046336449,-0.005232161,-0.012531583,-0.00394425,0,0,0,0,0.052167783,-0.027993968,-0.030635075,0,0,0,0.035694725,0,0,0.04305268,0.018223494,0,0.006500691,0
Elliott Co-Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131299104,0,0.093987528,0
Elliott International Ltd,0,0,-0.075305842,0,0,-0.002303122,0.011589361,0,-0.006071356,-0.082528331,0,0.035469389,-0.016937523,0.114405941,-0.045283884,0.047105179,-0.003490331,-0.022457363,-0.001451154,0,0,0,0,0.061534926,-0.029645775,-0.027123854,0,0,0,0.036981914,0,0,0.040789276,0.019712394,0,0.010144735,0
Energy Infrastructure & Utility Fund QP Perf,0.714481991,-0.176758686,0,0.078168239,-0.301207536,0,-0.134591145,0.516205262,0.193018542,-0.232374424,-0.189081036,0,0.013495293,0.168196501,0,0,-0.00991571,-0.148934961,0.388643774,-0.010998572,-0.072266254,0,0,0.727884113,-0.206257763,0,0.055191419,0,-0.145213065,0,0,-0.06661527,0.157605245,0.013236301,0,0,0
Fidelity Index US P Acc,0.417416132,-0.088207955,0,0,0.104877567,0,0,0,0,0,0,0,0,0.039453102,0,0,0.198728094,0,0,0,0,0,0,0,-0.004327411,0,0,0,-0.575935697,0,0,0,0,-0.006776303,0,0,0
